id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
veq1Bl1DW3UWMekZJUsG1Q,gramercy-tavern-new-york,Gramercy Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/l2oSnhyvJfWT6bufumBMzw/o.jpg,False,https://www.yelp.com/biz/gramercy-tavern-new-york?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,3433,"[{'alias': 'newamerican', 'title': 'New American'}]",4.5,"{'latitude': 40.73844, 'longitude': -73.98825}",['pickup'],$$$$,"{'address1': '42 E 20th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['42 E 20th St', 'New York, NY 10003']}",+12124770777,(212) 477-0777,3695.6399277648
WG639VkTjmK5dzydd1BBJA,rubirosa-new-york-2,Rubirosa,https://s3-media3.fl.yelpcdn.com/bphoto/l0Phrnhhj78RFiDhLIOUyQ/o.jpg,False,https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,3245,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 40.722766, 'longitude': -73.996233}",['pickup'],$$,"{'address1': '235 Mulberry St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['235 Mulberry St', 'New York, NY 10012']}",+12129650500,(212) 965-0500,1922.0346803084792
16ZnHpuaaBt92XWeJHCC5A,olio-e-più-new-york-7,Olio e Più,https://s3-media4.fl.yelpcdn.com/bphoto/CUpPgz_Q4QBHxxxxDJJTTA/o.jpg,False,https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,5134,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.733798036104304, 'longitude': -73.99977392649927}","['pickup', 'delivery']",$$,"{'address1': '3 Greenwich Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['3 Greenwich Ave', 'New York, NY 10014']}",+12122436546,(212) 243-6546,3175.6979398693993
DGhWO1sUWydVeR5j5ZZaMw,la-grande-boucherie-new-york-2,La Grande Boucherie,https://s3-media3.fl.yelpcdn.com/bphoto/b9URGcuuhnLq7J-__pHIng/o.jpg,False,https://www.yelp.com/biz/la-grande-boucherie-new-york-2?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,2709,"[{'alias': 'french', 'title': 'French'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.7626274, 'longitude': -73.98084109999999}","['pickup', 'delivery']",$$$,"{'address1': '145 W 53rd St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['145 W 53rd St', 'New York, NY 10019']}",+12125107714,(212) 510-7714,6447.196690217016
WJS06XxRdc6DD1s4LWE9HA,fish-cheeks-new-york,Fish Cheeks,https://s3-media2.fl.yelpcdn.com/bphoto/pqupe3fe52869QQ23KkiBg/o.jpg,False,https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,1478,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",4.5,"{'latitude': 40.7258, 'longitude': -73.9927}","['pickup', 'delivery']",$$,"{'address1': '55 Bond St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['55 Bond St', 'New York, NY 10012']}",+12126772223,(212) 677-2223,2242.4252176048417
h37t9rA06Sr4EetJjKrfzw,don-angie-new-york,Don Angie,https://s3-media2.fl.yelpcdn.com/bphoto/onJX6_vaMPHXUqIbMrq79A/o.jpg,False,https://www.yelp.com/biz/don-angie-new-york?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,825,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'newamerican', 'title': 'New American'}]",4.5,"{'latitude': 40.73778, 'longitude': -74.00197}",['delivery'],$$$,"{'address1': '103 Greenwich Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['103 Greenwich Ave', 'New York, NY 10014']}",+12128898884,(212) 889-8884,3646.541688095945
ryvBsB9FrBBZDak87iGS1w,sea-fire-grill-new-york,Sea Fire Grill,https://s3-media3.fl.yelpcdn.com/bphoto/exMqPoCEi2btoGtAd8kcIQ/o.jpg,False,https://www.yelp.com/biz/sea-fire-grill-new-york?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,1547,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.754691900002385, 'longitude': -73.97222533963885}","['pickup', 'delivery']",$$$,"{'address1': '158 E 48th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['158 E 48th St', 'New York, NY 10017']}",+12129353785,(212) 935-3785,5771.732704349051
vRrVSB-LegwUwIxpkeRVtQ,le-bernardin-new-york,Le Bernardin,https://s3-media1.fl.yelpcdn.com/bphoto/s4xJtclbjvGCkCi9ITJo2g/o.jpg,False,https://www.yelp.com/biz/le-bernardin-new-york?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,2965,"[{'alias': 'french', 'title': 'French'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.5,"{'latitude': 40.761557, 'longitude': -73.981763}",[],$$$$,"{'address1': '155 W 51st St', 'address2': '', 'address3': 'The Equitable Bldg', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['155 W 51st St', 'The Equitable Bldg', 'New York, NY 10019']}",+12125541515,(212) 554-1515,6316.639756903092
fVbUVAiLiGgLA_nxBFxyww,thursday-kitchen-new-york,Thursday Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/rNxrGdNWsrbivc0O1z2YXQ/o.jpg,False,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,1800,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"{'latitude': 40.72761, 'longitude': -73.98373}","['pickup', 'delivery']",$$,"{'address1': '424 E 9th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['424 E 9th St', 'New York, NY 10009']}",,,2606.2864679081063
ETgJqJHV7BW6pIr9Ox74sA,amélie-new-york,Amélie,https://s3-media4.fl.yelpcdn.com/bphoto/cSDgVuPMnJgMLTrTNSEXug/o.jpg,False,https://www.yelp.com/biz/am%C3%A9lie-new-york?adjust_creative=iryTngAOjQL0oqYR7y1Gqw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iryTngAOjQL0oqYR7y1Gqw,2927,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 40.7327, 'longitude': -73.99766}","['pickup', 'delivery']",$$$,"{'address1': '22 W 8th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['22 W 8th St', 'New York, NY 10011']}",+12125332962,(212) 533-2962,3027.9895131690846
